x,,y_hat,,,,,,,,,,
120,2012년 12월,84,,,,,,,,,,
121,2013년 1월,85,,,,,,,,,,
122,2013년 2월,87,,,,,,,,,,
123,2013년 3월,89,,,,,,,,,,
124,2013년 4월,90,,,,,,,,,,
125,2013년 5월,93,,,,,,,,,,
126,2013년 6월,97,,,,,,,,,,
127,2013년 7월,91,,,,,,,,,,
128,2013년 8월,91,,,,,,,,,,
129,2013년 9월,89,,,,,,,,,,
130,2013년 10월,91,,,,,,,,,,
131,2013년 11월,96,,,,,,,,,,
132,2013년 12월,90,,,,,,,,,,
133,2014년 1월,91,,,,,,,,,,
134,2014년 2월,91,,,,,,,,,,
135,2014년 3월,91,,,,,,,,,,
136,2014년 4월,94,,,,,,,,,,
137,2014년 5월,92,,,,,,,,,,
138,2014년 6월,90,,,,,,,,,,
139,2014년 7월,89,,,,,,,,,,
140,2014년 8월,88,,,,,,,,,,
141,2014년 9월,87,,,,,,,,,,
142,2014년 10월,92,,,,,,,,,,
143,2014년 11월,90,,,,,,,,,,
144,2014년 12월,95,,,,,,,,,,
145,2015년 1월,93,,,,,,,,,,
146,2015년 2월,94,,,,,,,,,,
147,2015년 3월,96,,,,,,,,,,
148,2015년 4월,101,,,,,,,,,,
149,2015년 5월,86,,,,,,,,,,
150,2015년 6월,82,,,,,,,,,,
151,2015년 7월,82,,,,,,,,,,
152,2015년 8월,83,,,,,,,,,,
153,2015년 9월,84,,,,,,,,,,
154,2015년 10월,84,,,,,,,,,,
155,2015년 11월,83,,,,,,,,,,
156,2015년 12월,80,,,,,,,,,,
157,2016년 1월,83,,,,,,,,,,
158,2016년 2월,79,,,,,,,,,,
159,2016년 3월,89,,,,,,,,,,
160,2016년 4월,90,,,,,,,,,,
161,2016년 5월,86,,,,,,,,,,
162,2016년 6월,88,,,,,,,,,,
163,2016년 7월,90,,,,,,,,,,
164,2016년 8월,86,,,,,,,,,,
165,2016년 9월,84,,,,,,,,,,
166,2016년 10월,82,,,,,,,,,,
167,2016년 11월,90,,,,,,,,,,
168,2016년 12월,93,,,,,,,,,,
169,2017년 1월,94,,,,,,,,,,
170,2017년 2월,95,,,,,,,,,,
171,2017년 3월,99,,,,,,,,,,
172,2017년 4월,100,,,,,,,,,,
173,2017년 5월,94,,,,,,,,,,
174,2017년 6월,94,,,,,,,,,,
175,2017년 7월,95,,,,,,,,,,
176,2017년 8월,94,,,,,,,,,,
177,2017년 9월,95,,,,,,,,,,
178,2017년 10월,97,,,,,,,,,,
179,2017년 11월,95,,,,,,,,,,
180,2017년 12월,97,,,,,,,,,,
181,2017년 13월,94,,,,,,,,,,
182,2018년 1월,91,,,,,,,,,,
183,2018년 2월,85,,,,,,,,,,
184,2018년 3월,88,,,,,,,,,,
185,2018년 4월,91,,,,,,,,,,
186,2018년 5월,95,,,,,,,,,,
187,2018년 6월,89,,,,,,,,,,
188,2018년 7월,90,,,,,,,,,,
189,2018년 8월,87,,,,,,,,,,
190,2018년 9월,85,,,,,,,,,,
191,2018년 10월,88,,,,,,,,,,
192,2018년 11월,86,,,,,,,,,,
193,2019년 1월,88,,,,,,,,,,
194,2019년 2월,86,,,,,,,,,,
195,2019년 3월,89,,,,,,,,,,
