x,time,y_hat
1,2017년 5월,98.2
2,2017년 6월,98.6
3,2017년 7월,98.9
4,2017년 8월,99.4
5,2017년 9월,99.5
6,2017년 10월,99.7
7,2017년 11월,100
8,2017년 12월,100.3
9,2018년 1월,100.8
10,2018년 2월,101.4
11,2018년 3월,101.7
12,2018년 4월,101.9
13,2018년 5월,102
14,2018년 6월,102.1
15,2018년 7월,102.1
16,2018년 8월,102.3
17,2018년 9월,103.3
18,2018년 10월,103.7
19,2018년 11월,103.9
20,2018년 12월,103.9
21,2019년 1월,103.6
22,2019년 2월,103.3
23,2019년 3월,103
24,2019년 4월,102.6
